  idx	   wall_ms	   dt_ms	 cnt_dt_ms	   kind	content
  501	   5922.14	   11.93	         —	  empty	[EMPTY]
  502	   5933.95	   11.81	     35.63	content	'\n'
  503	   5946.27	   12.32	         —	  empty	[EMPTY]
  504	   5959.68	   13.41	         —	  empty	[EMPTY]
  505	   5970.50	   10.82	     36.55	content	'\n'
  506	   5981.46	   10.96	         —	  empty	[EMPTY]
  507	   5993.15	   11.69	         —	  empty	[EMPTY]
  508	   6005.04	   11.89	     34.54	content	'\n'
  509	   6017.09	   12.05	         —	  empty	[EMPTY]
  510	   6028.86	   11.77	         —	  empty	[EMPTY]
  511	   6040.61	   11.76	     35.58	content	'\n'
  512	   6052.48	   11.86	         —	  empty	[EMPTY]
  513	   6064.56	   12.08	         —	  empty	[EMPTY]
  514	   6076.27	   11.70	     35.65	content	'\n'
  515	   6088.01	   11.75	         —	  empty	[EMPTY]
  516	   6099.80	   11.79	         —	  empty	[EMPTY]
  517	   6111.70	   11.89	     35.43	content	'\n'
  518	   6123.66	   11.96	         —	  empty	[EMPTY]
  519	   6135.44	   11.77	         —	  empty	[EMPTY]
  520	   6147.25	   11.81	     35.55	content	'\n'
  521	   6159.21	   11.96	         —	  empty	[EMPTY]
  522	   6171.08	   11.88	         —	  empty	[EMPTY]
  523	   6182.82	   11.74	     35.58	content	'\n'
  524	   6194.70	   11.87	         —	  empty	[EMPTY]
  525	   6206.51	   11.81	         —	  empty	[EMPTY]
  526	   6220.98	   14.48	     38.16	content	'\n'
  527	   6230.29	    9.31	         —	  empty	[EMPTY]
  528	   6242.10	   11.82	         —	  empty	[EMPTY]
  529	   6253.94	   11.84	     32.96	content	'\n'
  530	   6265.89	   11.94	         —	  empty	[EMPTY]
  531	   6277.71	   11.82	         —	  empty	[EMPTY]
  532	   6289.54	   11.83	     35.59	content	'\n'
  533	   6301.46	   11.92	         —	  empty	[EMPTY]
  534	   6313.20	   11.74	         —	  empty	[EMPTY]
  535	   6325.13	   11.93	     35.59	content	'\n'
  536	   6336.90	   11.77	         —	  empty	[EMPTY]
  537	   6348.80	   11.90	         —	  empty	[EMPTY]
  538	   6360.80	   12.00	     35.67	content	'\n'
  539	   6372.62	   11.82	         —	  empty	[EMPTY]
  540	   6384.38	   11.76	         —	  empty	[EMPTY]
  541	   6396.22	   11.83	     35.41	content	'\n'
  542	   6408.11	   11.89	         —	  empty	[EMPTY]
  543	   6420.42	   12.31	         —	  empty	[EMPTY]
  544	   6431.90	   11.49	     35.68	content	'\n'
  545	   6443.73	   11.82	         —	  empty	[EMPTY]
  546	   6455.87	   12.15	         —	  empty	[EMPTY]
  547	   6470.28	   14.40	     38.37	content	'\n'
  548	   6479.25	    8.98	         —	  empty	[EMPTY]
  549	   6491.13	   11.88	         —	  empty	[EMPTY]
  550	   6503.04	   11.91	     32.76	content	'\n'
  551	   6514.91	   11.87	         —	  empty	[EMPTY]
  552	   6526.82	   11.92	         —	  empty	[EMPTY]
  553	   6538.62	   11.80	     35.58	content	'\n'
  554	   6550.43	   11.80	         —	  empty	[EMPTY]
  555	   6563.08	   12.65	         —	  empty	[EMPTY]
  556	   6574.37	   11.29	     35.74	content	'\n'
  557	   6586.00	   11.63	         —	  empty	[EMPTY]
  558	   6597.95	   11.95	         —	  empty	[EMPTY]
  559	   6609.76	   11.81	     35.40	content	'\n'
  560	   6621.71	   11.95	         —	  empty	[EMPTY]
  561	   6633.51	   11.80	         —	  empty	[EMPTY]
  562	   6645.46	   11.95	     35.70	content	'\n'
  563	   6657.36	   11.90	         —	  empty	[EMPTY]
  564	   6670.11	   12.75	         —	  empty	[EMPTY]
  565	   6680.98	   10.87	     35.52	content	'\n'
  566	   6692.84	   11.86	         —	  empty	[EMPTY]
  567	   6704.74	   11.91	         —	  empty	[EMPTY]
  568	   6716.55	   11.81	     35.57	content	'\n'
  569	   6728.52	   11.97	         —	  empty	[EMPTY]
  570	   6740.28	   11.76	         —	  empty	[EMPTY]
  571	   6752.12	   11.84	     35.56	content	'\n'
  572	   6764.13	   12.02	         —	  empty	[EMPTY]
  573	   6775.93	   11.80	         —	  empty	[EMPTY]
  574	   6787.74	   11.81	     35.63	content	'\n'
  575	   6799.52	   11.78	         —	  empty	[EMPTY]
  576	   6811.41	   11.89	         —	  empty	[EMPTY]
  577	   6823.45	   12.04	     35.71	content	'\n'
  578	   6835.16	   11.71	         —	  empty	[EMPTY]
  579	   6847.01	   11.85	         —	  empty	[EMPTY]
  580	   6859.74	   12.73	     36.29	content	'\n'
  581	   6870.99	   11.26	         —	  empty	[EMPTY]
  582	   6882.59	   11.60	         —	  empty	[EMPTY]
  583	   6894.48	   11.89	     34.74	content	'\n'
  584	   6906.28	   11.80	         —	  empty	[EMPTY]
  585	   6920.81	   14.53	         —	  empty	[EMPTY]
  586	   6930.02	    9.21	     35.55	content	'\n'
  587	   6941.92	   11.89	         —	  empty	[EMPTY]
  588	   6953.87	   11.95	         —	  empty	[EMPTY]
  589	   6965.68	   11.81	     35.66	content	'\n'
  590	   6977.56	   11.87	         —	  empty	[EMPTY]
  591	   6989.34	   11.79	         —	  empty	[EMPTY]
  592	   7001.24	   11.89	     35.55	content	'\n'
  593	   7013.12	   11.88	         —	  empty	[EMPTY]
  594	   7025.02	   11.91	         —	  empty	[EMPTY]
  595	   7036.86	   11.84	     35.62	content	'\n'
  596	   7048.64	   11.77	         —	  empty	[EMPTY]
  597	   7060.65	   12.01	         —	  empty	[EMPTY]
  598	   7072.57	   11.92	     35.71	content	'\n'
  599	   7084.23	   11.66	         —	  empty	[EMPTY]
  600	   7096.15	   11.92	         —	  empty	[EMPTY]
  601	   7108.00	   11.85	     35.43	content	'\n'
  602	   7120.59	   12.59	         —	  empty	[EMPTY]
  603	   7131.77	   11.18	         —	  empty	[EMPTY]
  604	   7143.60	   11.83	     35.59	content	'\n'
  605	   7155.56	   11.96	         —	  empty	[EMPTY]
  606	   7167.42	   11.86	         —	  empty	[EMPTY]
  607	   7179.22	   11.81	     35.63	content	'\n'
  608	   7191.02	   11.79	         —	  empty	[EMPTY]
  609	   7202.91	   11.89	         —	  empty	[EMPTY]
  610	   7214.70	   11.80	     35.48	content	'\n'
  611	   7226.70	   12.00	         —	  empty	[EMPTY]
  612	   7238.46	   11.75	         —	  empty	[EMPTY]
  613	   7250.41	   11.95	     35.70	content	'\n'
  614	   7263.64	   13.24	         —	  empty	[EMPTY]
  615	   7274.15	   10.51	         —	  empty	[EMPTY]
  616	   7285.92	   11.77	     35.51	content	'\n'
  617	   7297.75	   11.83	         —	  empty	[EMPTY]
  618	   7309.99	   12.24	         —	  empty	[EMPTY]
  619	   7321.66	   11.66	     35.74	content	'\n'
  620	   7333.35	   11.70	         —	  empty	[EMPTY]
  621	   7345.19	   11.84	         —	  empty	[EMPTY]
  622	   7357.27	   12.07	     35.61	content	'\n'
  623	   7370.43	   13.16	         —	  empty	[EMPTY]
  624	   7380.84	   10.41	         —	  empty	[EMPTY]
  625	   7392.73	   11.89	     35.47	content	'\n'
  626	   7404.55	   11.82	         —	  empty	[EMPTY]
  627	   7416.36	   11.81	         —	  empty	[EMPTY]
  628	   7428.36	   12.01	     35.63	content	'\n'
  629	   7440.18	   11.81	         —	  empty	[EMPTY]
  630	   7452.08	   11.90	         —	  empty	[EMPTY]
  631	   7463.93	   11.84	     35.56	content	'\n'
  632	   7475.83	   11.90	         —	  empty	[EMPTY]
  633	   7487.67	   11.85	         —	  empty	[EMPTY]
  634	   7499.49	   11.81	     35.56	content	'\n'
  635	   7511.33	   11.84	         —	  empty	[EMPTY]
  636	   7523.28	   11.95	         —	  empty	[EMPTY]
  637	   7535.05	   11.77	     35.57	content	'\n'
  638	   7547.05	   11.99	         —	  empty	[EMPTY]
  639	   7558.89	   11.84	         —	  empty	[EMPTY]
  640	   7570.77	   11.88	     35.72	content	'\n'
  641	   7582.55	   11.78	         —	  empty	[EMPTY]
  642	   7594.37	   11.81	         —	  empty	[EMPTY]
  643	   7606.22	   11.85	     35.44	content	'\n'
  644	   7620.57	   14.35	         —	  empty	[EMPTY]
  645	   7630.05	    9.49	         —	  empty	[EMPTY]
  646	   7641.89	   11.84	     35.68	content	'\n'
  647	   7653.75	   11.86	         —	  empty	[EMPTY]
  648	   7665.70	   11.95	         —	  empty	[EMPTY]
  649	   7677.59	   11.90	     35.70	content	'\n'
  650	   7689.35	   11.76	         —	  empty	[EMPTY]
  651	   7701.23	   11.88	         —	  empty	[EMPTY]
  652	   7713.10	   11.86	     35.50	content	'\n'
  653	   7725.11	   12.01	         —	  empty	[EMPTY]
  654	   7736.82	   11.71	         —	  empty	[EMPTY]
  655	   7748.69	   11.87	     35.59	content	'\n'
  656	   7760.71	   12.02	         —	  empty	[EMPTY]
  657	   7772.96	   12.25	         —	  empty	[EMPTY]
  658	   7784.36	   11.40	     35.67	content	'\n'
  659	   7796.45	   12.09	         —	  empty	[EMPTY]
  660	   7808.10	   11.65	         —	  empty	[EMPTY]
  661	   7820.25	   12.15	     35.89	content	'\n'
  662	   7831.82	   11.58	         —	  empty	[EMPTY]
  663	   7843.68	   11.86	         —	  empty	[EMPTY]
  664	   7855.74	   12.05	     35.49	content	'\n'
  665	   7867.66	   11.93	         —	  empty	[EMPTY]
  666	   7879.42	   11.75	         —	  empty	[EMPTY]
  667	   7891.22	   11.81	     35.49	content	'\n'
  668	   7903.14	   11.92	         —	  empty	[EMPTY]
  669	   7915.00	   11.86	         —	  empty	[EMPTY]
  670	   7927.21	   12.21	     35.99	content	'\n'
  671	   7938.72	   11.51	         —	  empty	[EMPTY]
  672	   7950.61	   11.89	         —	  empty	[EMPTY]
  673	   7963.06	   12.45	     35.85	content	'\n'
  674	   7974.47	   11.41	         —	  empty	[EMPTY]
  675	   7986.34	   11.88	         —	  empty	[EMPTY]
  676	   7998.14	   11.80	     35.08	content	'\n'
  677	   8010.29	   12.15	         —	  empty	[EMPTY]
  678	   8021.90	   11.61	         —	  empty	[EMPTY]
  679	   8033.73	   11.83	     35.59	content	'\n'
  680	   8045.65	   11.93	         —	  empty	[EMPTY]
  681	   8057.81	   12.16	         —	  empty	[EMPTY]
  682	   8070.69	   12.88	     36.97	content	'\n'
  683	   8081.22	   10.53	         —	  empty	[EMPTY]
  684	   8093.21	   11.99	         —	  empty	[EMPTY]
  685	   8105.19	   11.98	     34.49	content	'\n'
  686	   8117.19	   12.00	         —	  empty	[EMPTY]
  687	   8128.74	   11.56	         —	  empty	[EMPTY]
  688	   8140.56	   11.82	     35.38	content	'\n'
  689	   8152.49	   11.92	         —	  empty	[EMPTY]
  690	   8166.12	   13.63	         —	  empty	[EMPTY]
  691	   8176.22	   10.11	     35.66	content	'\n'
  692	   8188.06	   11.83	         —	  empty	[EMPTY]
  693	   8199.94	   11.88	         —	  empty	[EMPTY]
  694	   8211.80	   11.86	     35.57	content	'\n'
  695	   8223.79	   12.00	         —	  empty	[EMPTY]
  696	   8235.76	   11.97	         —	  empty	[EMPTY]
  697	   8247.43	   11.67	     35.63	content	'\n'
  698	   8259.58	   12.15	         —	  empty	[EMPTY]
  699	   8271.30	   11.72	         —	  empty	[EMPTY]
  700	   8283.10	   11.80	     35.67	content	'\n'
  701	   8294.97	   11.87	         —	  empty	[EMPTY]
  702	   8306.89	   11.92	         —	  empty	[EMPTY]
  703	   8320.11	   13.22	     37.01	content	'\n'
  704	   8330.58	   10.47	         —	  empty	[EMPTY]
  705	   8342.45	   11.87	         —	  empty	[EMPTY]
  706	   8354.47	   12.02	     34.36	content	'\n'
  707	   8366.23	   11.76	         —	  empty	[EMPTY]
  708	   8378.14	   11.91	         —	  empty	[EMPTY]
  709	   8389.97	   11.83	     35.50	content	'\n'
  710	   8402.10	   12.13	         —	  empty	[EMPTY]
  711	   8413.92	   11.83	         —	  empty	[EMPTY]
  712	   8425.92	   12.00	     35.95	content	'\n'
  713	   8437.76	   11.84	         —	  empty	[EMPTY]
  714	   8449.54	   11.79	         —	  empty	[EMPTY]
  715	   8461.58	   12.04	     35.66	content	'\n'
  716	   8473.34	   11.76	         —	  empty	[EMPTY]
  717	   8485.17	   11.83	         —	  empty	[EMPTY]
  718	   8497.04	   11.87	     35.46	content	'\n'
  719	   8508.93	   11.89	         —	  empty	[EMPTY]
  720	   8521.27	   12.34	         —	  empty	[EMPTY]
  721	   8532.73	   11.46	     35.69	content	'\n'
  722	   8544.62	   11.89	         —	  empty	[EMPTY]
  723	   8556.51	   11.89	         —	  empty	[EMPTY]
  724	   8570.74	   14.23	     38.01	content	'\n'
  725	   8580.28	    9.54	         —	  empty	[EMPTY]
  726	   8592.04	   11.77	         —	  empty	[EMPTY]
  727	   8604.04	   11.99	     33.30	content	'\n'
  728	   8615.87	   11.83	         —	  empty	[EMPTY]
  729	   8627.70	   11.83	         —	  empty	[EMPTY]
  730	   8639.58	   11.89	     35.55	content	'\n'
  731	   8651.40	   11.81	         —	  empty	[EMPTY]
  732	   8663.46	   12.06	         —	  empty	[EMPTY]
  733	   8675.33	   11.88	     35.75	content	'\n'
  734	   8687.18	   11.84	         —	  empty	[EMPTY]
  735	   8699.02	   11.84	         —	  empty	[EMPTY]
  736	   8710.87	   11.85	     35.53	content	'\n'
  737	   8723.09	   12.22	         —	  empty	[EMPTY]
  738	   8734.51	   11.42	         —	  empty	[EMPTY]
  739	   8746.49	   11.98	     35.62	content	'\n'
  740	   8758.92	   12.43	         —	  empty	[EMPTY]
  741	   8771.12	   12.20	         —	  empty	[EMPTY]
  742	   8782.17	   11.05	     35.69	content	'\n'
  743	   8794.04	   11.87	         —	  empty	[EMPTY]
  744	   8805.96	   11.92	         —	  empty	[EMPTY]
  745	   8820.79	   14.83	     38.61	content	'\n'
  746	   8829.57	    8.78	         —	  empty	[EMPTY]
  747	   8841.59	   12.02	         —	  empty	[EMPTY]
  748	   8853.44	   11.85	     32.65	content	'\n'
  749	   8865.45	   12.01	         —	  empty	[EMPTY]
  750	   8877.35	   11.90	         —	  empty	[EMPTY]
  751	   8889.17	   11.82	     35.73	content	'\n'
  752	   8901.05	   11.88	         —	  empty	[EMPTY]
  753	   8912.96	   11.90	         —	  empty	[EMPTY]
  754	   8924.76	   11.80	     35.58	content	'\n'
  755	   8936.70	   11.94	         —	  empty	[EMPTY]
  756	   8948.61	   11.91	         —	  empty	[EMPTY]
  757	   8960.59	   11.98	     35.83	content	'\n'
  758	   8972.46	   11.87	         —	  empty	[EMPTY]
  759	   8984.26	   11.81	         —	  empty	[EMPTY]
  760	   8996.09	   11.83	     35.50	content	'\n'
  761	   9008.09	   12.00	         —	  empty	[EMPTY]
  762	   9020.86	   12.77	         —	  empty	[EMPTY]
  763	   9031.89	   11.03	     35.80	content	'\n'
  764	   9043.72	   11.83	         —	  empty	[EMPTY]
  765	   9055.78	   12.06	         —	  empty	[EMPTY]
  766	   9067.77	   11.99	     35.88	content	'\n'
  767	   9079.35	   11.58	         —	  empty	[EMPTY]
  768	   9091.24	   11.89	         —	  empty	[EMPTY]
  769	   9103.13	   11.88	     35.36	content	'\n'
  770	   9115.03	   11.90	         —	  empty	[EMPTY]
  771	   9126.95	   11.92	         —	  empty	[EMPTY]
  772	   9138.75	   11.81	     35.63	content	'\n'
  773	   9150.66	   11.90	         —	  empty	[EMPTY]
  774	   9162.66	   12.00	         —	  empty	[EMPTY]
  775	   9174.51	   11.85	     35.76	content	'\n'
  776	   9186.31	   11.80	         —	  empty	[EMPTY]
  777	   9198.16	   11.85	         —	  empty	[EMPTY]
  778	   9210.04	   11.87	     35.52	content	'\n'
  779	   9221.92	   11.89	         —	  empty	[EMPTY]
  780	   9233.89	   11.97	         —	  empty	[EMPTY]
  781	   9245.73	   11.84	     35.70	content	'\n'
  782	   9257.67	   11.94	         —	  empty	[EMPTY]
  783	   9271.34	   13.67	         —	  empty	[EMPTY]
  784	   9281.37	   10.03	     35.64	content	'\n'
  785	   9293.23	   11.86	         —	  empty	[EMPTY]
  786	   9305.06	   11.83	         —	  empty	[EMPTY]
  787	   9317.28	   12.22	     35.91	content	'\n'
  788	   9328.76	   11.48	         —	  empty	[EMPTY]
  789	   9340.75	   11.99	         —	  empty	[EMPTY]
  790	   9352.77	   12.02	     35.49	content	'\n'
  791	   9364.59	   11.83	         —	  empty	[EMPTY]
  792	   9376.42	   11.83	         —	  empty	[EMPTY]
  793	   9388.29	   11.87	     35.53	content	'\n'
  794	   9400.22	   11.93	         —	  empty	[EMPTY]
  795	   9412.05	   11.83	         —	  empty	[EMPTY]
  796	   9423.93	   11.89	     35.64	content	'\n'
  797	   9435.78	   11.84	         —	  empty	[EMPTY]
  798	   9447.74	   11.96	         —	  empty	[EMPTY]
  799	   9459.76	   12.01	     35.82	content	'\n'
  800	   9471.65	   11.90	         —	  empty	[EMPTY]
  801	   9483.44	   11.79	         —	  empty	[EMPTY]
  802	   9495.28	   11.84	     35.53	content	'\n'
  803	   9507.22	   11.94	         —	  empty	[EMPTY]
  804	   9520.99	   13.77	         —	  empty	[EMPTY]
  805	   9530.92	    9.92	     35.64	content	'\n'
  806	   9542.95	   12.03	         —	  empty	[EMPTY]
  807	   9554.80	   11.85	         —	  empty	[EMPTY]
  808	   9566.66	   11.85	     35.74	content	'\n'
  809	   9578.66	   12.00	         —	  empty	[EMPTY]
  810	   9590.46	   11.80	         —	  empty	[EMPTY]
  811	   9602.71	   12.25	     36.05	content	'\n'
  812	   9614.28	   11.57	         —	  empty	[EMPTY]
  813	   9626.08	   11.80	         —	  empty	[EMPTY]
  814	   9638.01	   11.93	     35.30	content	'\n'
  815	   9649.89	   11.88	         —	  empty	[EMPTY]
  816	   9661.92	   12.03	         —	  empty	[EMPTY]
  817	   9673.69	   11.78	     35.69	content	'\n'
  818	   9685.73	   12.03	         —	  empty	[EMPTY]
  819	   9697.52	   11.80	         —	  empty	[EMPTY]
  820	   9709.38	   11.85	     35.68	content	'\n'
  821	   9721.23	   11.85	         —	  empty	[EMPTY]
  822	   9733.21	   11.99	         —	  empty	[EMPTY]
  823	   9745.21	   12.00	     35.83	content	'\n'
  824	   9757.09	   11.88	         —	  empty	[EMPTY]
  825	   9770.20	   13.11	         —	  empty	[EMPTY]
  826	   9780.71	   10.52	     35.50	content	'\n'
  827	   9792.61	   11.90	         —	  empty	[EMPTY]
  828	   9804.64	   12.03	         —	  empty	[EMPTY]
  829	   9816.41	   11.77	     35.70	content	'\n'
  830	   9828.38	   11.97	         —	  empty	[EMPTY]
  831	   9840.20	   11.82	         —	  empty	[EMPTY]
  832	   9852.15	   11.95	     35.74	content	'\n'
  833	   9864.02	   11.87	         —	  empty	[EMPTY]
  834	   9875.76	   11.73	         —	  empty	[EMPTY]
  835	   9887.62	   11.86	     35.47	content	'\n'
  836	   9899.57	   11.95	         —	  empty	[EMPTY]
  837	   9911.49	   11.92	         —	  empty	[EMPTY]
  838	   9923.36	   11.87	     35.74	content	'\n'
  839	   9935.19	   11.83	         —	  empty	[EMPTY]
  840	   9947.05	   11.86	         —	  empty	[EMPTY]
  841	   9959.04	   11.99	     35.69	content	'\n'
  842	   9971.21	   12.16	         —	  empty	[EMPTY]
  843	   9982.66	   11.45	         —	  empty	[EMPTY]
  844	   9994.51	   11.85	     35.46	content	'\n'
  845	  10006.43	   11.92	         —	  empty	[EMPTY]
  846	  10020.18	   13.75	         —	  empty	[EMPTY]
  847	  10030.22	   10.04	     35.71	content	'\n'
  848	  10042.12	   11.90	         —	  empty	[EMPTY]
  849	  10054.07	   11.95	         —	  empty	[EMPTY]
  850	  10066.01	   11.93	     35.78	content	'\n'
  851	  10077.91	   11.90	         —	  empty	[EMPTY]
  852	  10089.72	   11.81	         —	  empty	[EMPTY]
  853	  10101.56	   11.85	     35.56	content	'\n'
  854	  10113.47	   11.90	         —	  empty	[EMPTY]
  855	  10125.41	   11.94	         —	  empty	[EMPTY]
  856	  10137.20	   11.80	     35.64	content	'\n'
  857	  10149.24	   12.03	         —	  empty	[EMPTY]
  858	  10161.30	   12.06	         —	  empty	[EMPTY]
  859	  10172.98	   11.69	     35.78	content	'\n'
  860	  10184.80	   11.81	         —	  empty	[EMPTY]
  861	  10196.76	   11.97	         —	  empty	[EMPTY]
  862	  10208.56	   11.80	     35.58	content	'\n'
  863	  10220.51	   11.95	         —	  empty	[EMPTY]
  864	  10232.29	   11.77	         —	  empty	[EMPTY]
  865	  10244.18	   11.89	     35.61	content	'\n'
  866	  10256.15	   11.97	         —	  empty	[EMPTY]
  867	  10270.27	   14.12	         —	  empty	[EMPTY]
  868	  10279.90	    9.63	     35.73	content	'\n'
  869	  10291.73	   11.83	         —	  empty	[EMPTY]
  870	  10303.64	   11.91	         —	  empty	[EMPTY]
  871	  10315.54	   11.90	     35.64	content	'\n'
  872	  10327.48	   11.94	         —	  empty	[EMPTY]
  873	  10339.32	   11.84	         —	  empty	[EMPTY]
  874	  10351.51	   12.19	     35.97	content	'\n'
  875	  10363.15	   11.65	         —	  empty	[EMPTY]
  876	  10375.04	   11.88	         —	  empty	[EMPTY]
  877	  10386.90	   11.87	     35.40	content	'\n'
  878	  10398.82	   11.92	         —	  empty	[EMPTY]
  879	  10410.65	   11.82	         —	  empty	[EMPTY]
  880	  10422.60	   11.95	     35.69	content	'\n'
  881	  10434.46	   11.87	         —	  empty	[EMPTY]
  882	  10446.36	   11.90	         —	  empty	[EMPTY]
  883	  10458.29	   11.93	     35.69	content	'\n'
  884	  10470.56	   12.27	         —	  empty	[EMPTY]
  885	  10481.99	   11.43	         —	  empty	[EMPTY]
  886	  10493.84	   11.85	     35.55	content	'\n'
  887	  10505.72	   11.88	         —	  empty	[EMPTY]
  888	  10517.71	   11.99	         —	  empty	[EMPTY]
  889	  10529.56	   11.85	     35.72	content	'\n'
  890	  10541.45	   11.88	         —	  empty	[EMPTY]
  891	  10553.44	   11.99	         —	  empty	[EMPTY]
  892	  10565.17	   11.73	     35.61	content	'\n'
  893	  10577.13	   11.95	         —	  empty	[EMPTY]
  894	  10588.95	   11.83	         —	  empty	[EMPTY]
  895	  10600.91	   11.95	     35.73	content	'\n'
  896	  10612.99	   12.08	         —	  empty	[EMPTY]
  897	  10624.76	   11.78	         —	  empty	[EMPTY]
  898	  10636.54	   11.78	     35.63	content	'\n'
  899	  10648.48	   11.94	         —	  empty	[EMPTY]
  900	  10660.50	   12.01	         —	  empty	[EMPTY]
  901	  10672.34	   11.84	     35.80	content	'\n'
  902	  10684.20	   11.86	         —	  empty	[EMPTY]
  903	  10696.32	   12.12	         —	  empty	[EMPTY]
  904	  10707.97	   11.65	     35.63	content	'\n'
  905	  10720.52	   12.55	         —	  empty	[EMPTY]
  906	  10731.77	   11.25	         —	  empty	[EMPTY]
  907	  10743.78	   12.01	     35.81	content	'\n'
  908	  10755.90	   12.12	         —	  empty	[EMPTY]
  909	  10767.99	   12.09	         —	  empty	[EMPTY]
  910	  10779.59	   11.60	     35.81	content	'\n'
  911	  10791.43	   11.84	         —	  empty	[EMPTY]
  912	  10803.27	   11.84	         —	  empty	[EMPTY]
  913	  10815.15	   11.88	     35.56	content	'\n'
  914	  10827.09	   11.94	         —	  empty	[EMPTY]
  915	  10838.95	   11.85	         —	  empty	[EMPTY]
  916	  10850.83	   11.88	     35.68	content	'\n'
  917	  10863.63	   12.80	         —	  empty	[EMPTY]
  918	  10874.65	   11.02	         —	  empty	[EMPTY]
  919	  10886.55	   11.90	     35.73	content	'\n'
  920	  10898.43	   11.88	         —	  empty	[EMPTY]
  921	  10910.30	   11.87	         —	  empty	[EMPTY]
  922	  10926.54	   16.24	     39.99	content	'\n'
  923	  10934.01	    7.46	         —	  empty	[EMPTY]
  924	  10945.98	   11.97	         —	  empty	[EMPTY]
  925	  10957.94	   11.96	     31.39	content	'\n'
  926	  10970.99	   13.06	         —	  empty	[EMPTY]
  927	  10981.70	   10.71	         —	  empty	[EMPTY]
  928	  10993.56	   11.86	     35.62	content	'\n'
  929	  11005.47	   11.91	         —	  empty	[EMPTY]
  930	  11017.53	   12.07	         —	  empty	[EMPTY]
  931	  11029.16	   11.63	     35.60	content	'\n'
  932	  11041.18	   12.02	         —	  empty	[EMPTY]
  933	  11053.05	   11.87	         —	  empty	[EMPTY]
  934	  11065.40	   12.35	     36.24	content	'\n'
  935	  11076.83	   11.43	         —	  empty	[EMPTY]
  936	  11088.88	   12.06	         —	  empty	[EMPTY]
  937	  11100.82	   11.94	     35.43	content	'\n'
  938	  11112.56	   11.74	         —	  empty	[EMPTY]
  939	  11124.52	   11.95	         —	  empty	[EMPTY]
  940	  11136.56	   12.05	     35.74	content	'\n'
  941	  11148.30	   11.74	         —	  empty	[EMPTY]
  942	  11161.88	   13.58	         —	  empty	[EMPTY]
  943	  11172.25	   10.37	     35.69	content	'\n'
  944	  11183.89	   11.64	         —	  empty	[EMPTY]
  945	  11195.88	   11.99	         —	  empty	[EMPTY]
  946	  11207.73	   11.85	     35.48	content	'\n'
  947	  11222.33	   14.60	         —	  empty	[EMPTY]
  948	  11231.33	    9.00	         —	  empty	[EMPTY]
  949	  11243.41	   12.09	     35.69	content	'\n'
  950	  11255.25	   11.83	         —	  empty	[EMPTY]
  951	  11267.45	   12.21	         —	  empty	[EMPTY]
  952	  11279.12	   11.67	     35.71	content	'\n'
  953	  11291.01	   11.89	         —	  empty	[EMPTY]
  954	  11302.90	   11.89	         —	  empty	[EMPTY]
  955	  11314.75	   11.85	     35.63	content	'\n'
  956	  11326.58	   11.83	         —	  empty	[EMPTY]
  957	  11338.57	   11.99	         —	  empty	[EMPTY]
  958	  11350.48	   11.91	     35.73	content	'\n'
  959	  11362.39	   11.91	         —	  empty	[EMPTY]
  960	  11374.30	   11.91	         —	  empty	[EMPTY]
  961	  11386.09	   11.79	     35.61	content	'\n'
  962	  11398.07	   11.98	         —	  empty	[EMPTY]
  963	  11409.94	   11.87	         —	  empty	[EMPTY]
  964	  11422.38	   12.44	     36.28	content	'\n'
  965	  11433.82	   11.45	         —	  empty	[EMPTY]
  966	  11445.70	   11.88	         —	  empty	[EMPTY]
  967	  11457.73	   12.03	     35.35	content	'\n'
  968	  11471.24	   13.51	         —	  empty	[EMPTY]
  969	  11482.39	   11.14	         —	  empty	[EMPTY]
  970	  11494.70	   12.31	     36.97	content	'\n'
  971	  11505.15	   10.45	         —	  empty	[EMPTY]
  972	  11517.07	   11.93	         —	  empty	[EMPTY]
  973	  11529.13	   12.05	     34.43	content	'\n'
  974	  11540.93	   11.80	         —	  empty	[EMPTY]
  975	  11552.86	   11.93	         —	  empty	[EMPTY]
  976	  11564.86	   11.99	     35.73	content	'\n'
  977	  11576.69	   11.84	         —	  empty	[EMPTY]
  978	  11588.83	   12.14	         —	  empty	[EMPTY]
  979	  11600.25	   11.42	     35.39	content	'\n'
  980	  11612.20	   11.95	         —	  empty	[EMPTY]
  981	  11624.17	   11.97	         —	  empty	[EMPTY]
  982	  11635.93	   11.76	     35.68	content	'\n'
  983	  11647.73	   11.80	         —	  empty	[EMPTY]
  984	  11659.74	   12.01	         —	  empty	[EMPTY]
  985	  11671.66	   11.92	     35.74	content	'\n'
  986	  11683.47	   11.80	         —	  empty	[EMPTY]
  987	  11695.34	   11.87	         —	  empty	[EMPTY]
  988	  11707.29	   11.95	     35.63	content	'\n'
  989	  11721.74	   14.44	         —	  empty	[EMPTY]
  990	  11731.13	    9.39	         —	  empty	[EMPTY]
  991	  11742.96	   11.83	     35.66	content	'\n'
  992	  11754.92	   11.96	         —	  empty	[EMPTY]
  993	  11767.04	   12.12	         —	  empty	[EMPTY]
  994	  11778.71	   11.67	     35.76	content	'\n'
  995	  11790.52	   11.80	         —	  empty	[EMPTY]
  996	  11802.38	   11.86	         —	  empty	[EMPTY]
  997	  11814.32	   11.95	     35.61	content	'\n'
  998	  11826.37	   12.04	         —	  empty	[EMPTY]
